YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS
169,0.2888,211.12002,625.5408,2.962962963,14.5,44,45.53,0.67
170,0.8058,793.60556,5465.05647,6.886363636,17.7,64.2,46.47,0.36
171,0.244508086,32.36384644,1117.698675,34.53540904,22.6,190.7,48.46,0.14
173,0.2904,46.11915,189.74736,4.114285714,15.1,53.7,46.51,0.13
174,0.6017,406.92424,1337.46423,3.286764706,15.4,41.7,41.18,0.28
175,0.148630137,79.79780447,421.530775,5.282485876,16.3,59.4,45.03,1.01
177,0.547,290.23273,1508.01336,5.195876289,15.7,63,53.12,0.27
179,0.534,601.67916,473.35896,0.786729858,13,15.4,29.18,0.53
180,0.075609756,26.51976337,673.3161478,25.38922156,22.1,150.9,67.22,1.18
181,0.084931507,8.67857478,319.3039266,36.79220779,25.6,162.9,51,0.31
182,0.1395,6.48675,38.19975,5.888888889,16.8,58.7,44.62,0.09
185,0.161844262,48.74424957,3160.045288,64.82908889,26.9,264.3,51.66,0.49
186,1.233484022,361.8744756,69555.32177,192.2084216,25.2,866.5,53.46,0.06
187,0.514491018,177.8459895,359.3683818,2.020671835,14.3,30.2,39.12,0.18
188,0.6897,517.85217,1026.48051,1.982188295,11.8,51.4,48.61,0.29
189,0.27172144,285.7960431,435.3444077,1.523269542,13.7,26.5,41.5,1.03
190,0.3024,50.0094,1574.58168,31.48571429,23,170.4,50.5,0.13
191,0.146226415,5.263721611,34.95438428,6.640621762,17.4,63.8,43.16,0.07
192,1.54082397,679.426465,17734.8627,26.10269633,21.1,165.2,58.11,0.08
195,0.347060907,483.7878283,10107.64295,20.89271858,20.8,139.8,56.72,1.07
196,0.385561224,550.294242,4254.280438,7.730919412,17.3,76.2,57.55,0.99
197,0.1815,21.08304,637.76196,30.25,21.2,187.8,50.16,0.15
198,0.043986486,9.283582907,584.5498356,62.96597353,30.1,216.2,55.45,1.28
199,0.652424581,259.1389128,2168.851471,8.369455006,17.1,82.6,46.66,0.16
200,0.182797271,11.98880995,30.59394581,2.551875119,13.7,43.5,45.65,0.1
201,0.182541322,7.114157873,376.7814355,52.96219766,23.8,265.3,52.24,0.06
202,0.607586981,387.8297407,4822.953945,12.43575064,17.7,113.6,49.1,0.28
203,0.75352809,1842.954051,6532.019299,3.544320215,15,48.8,50.2,0.87
204,0.94312009,2431.748396,454.1950081,0.186777139,11.3,5.5,17.08,0.72
205,0.616907216,385.4671154,9103.733777,23.61740707,20.8,153.8,49.56,0.27
206,0.473,82.77973,1510.17075,18.24324324,19.7,132.1,49.49,0.11
207,0.840715706,34.20508816,1057.673477,30.92152466,31.3,100.2,31.63,0.01
208,0.506981542,408.7412878,3647.835276,8.924557869,17.5,84.2,48.76,0.42
209,0.900152174,2173.690967,9845.80036,4.529530881,16.4,50.4,46.06,0.71
210,0.273446809,444.7372843,657.848544,1.479184604,14,24.4,40.84,1.57
211,0.39027027,62.62000205,1652.662335,26.39192399,20.2,559.5,65.1,0.11
212,0.244772727,54.6151986,3483.824721,63.78855721,24,1037.5,54.27,0.25
213,0.428535826,1495.723531,52842.87842,35.32930873,25.9,160.2,53.6,2.12
214,1.060211538,141.7485237,3940.436094,27.79878049,24.2,137.1,42.63,0.03
215,0.256818182,55.76446281,293.4555785,5.262412004,15.8,61.8,46.04,0.23
217,0.0871875,28.22468262,210.3360596,7.452202826,18.3,64.9,42.77,0.99
220,0.252997481,171.3293207,7386.746143,43.11431408,26.1,186.7,50.06,0.71
223,0.1848,3.5574,73.75676,20.73333333,23.4,107.4,41.26,0.03
224,0.454320988,258.5415226,6352.683445,24.57123088,19.9,176.6,50.28,0.34
225,0.3421,152.81918,2330.00889,15.24683544,19.4,115.1,50.19,0.34
226,0.240237705,126.7658444,128.2084671,1.011380216,12.7,21.1,41.39,0.59
227,0.4275,22.5625,379.05,16.8,22.2,93.8,42.24,0.03
230,0.213125,2379.776953,2747.787109,1.154640609,20,11.1,22.3,13.6
232,0.367456067,915.7103667,276.8080608,0.302287788,10.5,11.5,37.78,1.79
235,0.299375,1299.568164,12256.27217,9.431034483,21.6,63.7,42.6,4.19
236,0.331888519,117.2363944,685.9275448,5.850807236,16.7,61.4,56.91,0.28
237,1.214431239,19285.37355,29707.85929,1.540434735,14.1,26.1,41.34,3.5
241,0.298294574,62.30879154,514.3148969,8.254290996,15.8,98,50.3,0.19
242,0.636947095,666.3280977,2695.814358,4.045776199,17.1,40.3,37.24,0.44
244,0.446525597,97.95698992,542.66038,5.539782106,15.8,64.6,47.46,0.13
247,0.41,2464.6,87757,35.60699505,34.4,105.2,37.98,3.93
248,0.248526912,227.202381,1197.006264,5.268458274,17.2,52.8,50.65,1
249,0.4794,58.84776,360.24372,6.121621622,12,147.5,67.39,0.07
250,0.7553,873.18075,2619.54225,3,16.2,33.7,44.16,0.38
252,0.347821229,609.0223417,6141.589758,10.08434229,17.2,101,69.72,1.31
