YB,LM,TEMP,LRATIO,T_BOL,SURF_DENS
2676,5,18,43.4,32.17,0.02
2678,19.97142857,20.3,129.1,43.02,0.01
2680,13,19.7,95.4,46.26,0.02
2681,209.7740304,30.9,669.9,58.9,0.18
2683,0.672277568,11.4,18.9,42.75,0.12
2686,4.140280561,15.9,48.6,46.5,0.02
2687,8.309382925,19.4,61.8,37.69,0.07
2688,0.661764706,13.8,11,21.39,0.06
2689,4.503649635,17.8,40.9,34.96,0.03
2691,4.857142857,14.4,41.3,49.54,0.05
2692,21.85714286,23.1,117.6,48.43,0.03
2705,4.345430108,16.3,47.8,43.87,0.06
2708,2.80733945,17.5,25,27.17,0.01
2710,44.35802469,24.7,207.8,49.33,0.01
2712,4.237613751,14.6,61.1,48.71,0.1
2714,10.47536618,19.3,80.2,43.69,0.04
2715,0.8721174,11.7,23.1,49.43,0.05
2718,9.973333333,19.9,70.9,42.99,0.04
2729,42.925,25.6,177.1,49.05,0.01
2731,9.738197425,18.1,84.3,53.35,0.01
2738,48.84615385,25.9,209.4,52.05,0.23
2741,10.86585366,16.5,117.5,51.25,0.02
2753,29.71428571,24.3,151,46.21,0.01
2754,58.27027027,26.7,227.1,49.7,0.02
2756,6.571428571,17.1,66.4,45.32,0.08
2762,20.6667612,20.8,134.2,50.63,0.28
2766,8.279540851,17.9,73.6,45.16,0.04
2769,32.62367321,21,210.9,53.81,0.44
2770,3.905829596,15.4,49.3,42.9,0.09
2777,26.98756661,19.9,534.4,63.74,0.46
2779,4.133333333,16.4,45.3,40.7,0.36
2781,36.75,22.5,211.1,49.92,0.07
2782,20.81153305,20.6,138.1,48.81,0.14
2784,1.627906977,16,18.8,24.8,0.03
2788,13.72440945,18.7,113.3,60.72,0.59
2790,2.149901381,12,52.8,53.73,0.04
2791,0.374039939,10,16.2,62.04,0.25
2797,4.450236967,16.3,49.1,43.31,0.04
2799,8.200137035,17.9,75.7,48.6,1.37
2800,1.117263236,14.4,16.7,26.44,0.11
2801,17.45015752,16.7,185.6,71.31,0.87
2804,10.16796571,16.1,117.1,55.63,0.36
2806,91.00925926,23.8,127.4,87.01,0.97
2808,10.4795568,17.1,105,51.34,0.34
2815,7.825217391,17.2,76.9,44.5,0.08
2820,2.498371336,13.7,42,47.79,0.07
2829,9.725761773,18.8,77.6,48.9,0.05
2830,11.43768997,18.8,92.2,45.53,0.08
2837,5.236537151,16.2,58.7,44.47,0.05
2839,55,25.7,55.6,48.2,0.2
2840,11.62068966,21.8,69.7,45.17,0.55
2842,8.769230769,17.4,84.4,47.5,0.08
2843,11.05232558,20,78.3,44.98,0.02
2847,12.3968254,20.8,80.6,44.05,0.15
2850,11.29182879,19.5,84.5,42.85,0.03
2852,9.673913043,19.1,76,43.2,0.04
2855,10.52676056,17.8,95,46.82,0.02
2856,0.959183673,13.4,17.3,33.81,0.15
2859,63.66666667,26.8,245.1,46.61,0.02
2860,12.60606061,21.1,80,38.99,0.2
2861,3,17.9,28.2,27.65,0.01
2864,48.61137441,25.7,216.2,68.36,0.67
2866,48,25,194.9,50.98,0.02
2867,11.5,18.7,92.7,49.86,0.03
2869,16.5944664,19,130.9,51.42,0.35
2871,8.354054054,17.5,80,44.93,0.73
2874,1.312455801,10.6,50.4,53.63,2.91
2876,13.68471338,20,354.5,46.92,0.46
2879,11.5,20,86.5,50.56,0.01
2882,19.16788321,21.7,116.9,55.8,0.67
2883,19.31034483,19.4,146.5,56.42,0.02
2888,3.592592593,13,69,57.36,0.04
2890,1.381670534,15.6,17.2,24.14,0.02
2893,1.855225312,14.3,28.2,38.33,0.17
2898,11.7704918,19.6,87.9,46.06,0.69
2904,4.110015944,13.2,76.3,54.31,0.09
2914,7,19.3,53.1,37.06,0.02
2916,50.6124031,24.7,238.5,50.88,0.04
2921,12.04138322,17.2,119.2,57.81,0.5
2922,7.447578749,17.7,70.7,47.32,1.62
2923,1.337021277,12.4,29.9,58.35,0.22
2924,1.121484814,15.1,15,23.32,0.11
2931,11.93227092,15.9,138.6,52.55,0.07
2932,5.649233189,19.4,42.9,30.7,0.5
2933,37.25714286,23.4,190.1,54.81,0.01
2934,0.399538106,12.7,8.3,19.64,0.07
2936,6.585111212,16.8,67.4,45.68,0.18
2937,20.76962348,18.7,172.6,53.01,0.99
2938,94.62173038,29,336.8,54.9,0.05
2939,1.773662551,13.7,30.4,42.55,0.3
2942,9.739270386,17.7,90.7,48.82,0.53
2946,1.357142857,15.5,16.6,24.07,0.02
2950,4.916666667,15.9,56.5,46.69,0.09
2954,0.798979592,13.2,15.4,38.47,1.02
2955,2.99015897,14.8,44,97.97,2.57
2958,43.31369151,23.2,228.1,54.77,0.14
2959,3.044728435,15.8,36.9,40.11,0.61
2963,79.5,26.3,365.2,56.01,0.01
2964,0.323529412,12.2,7.4,18.91,0.03
2968,27.8,22.6,152.8,50.03,0.02
2969,5,17.7,44.9,38.07,0.07
2976,0.423529412,12.8,8.7,19.83,0.03
2979,7.053968254,19,55.7,39.19,0.05
2980,4.269230769,16.7,43.6,37.96,0.04
2982,25.19944309,20,178.7,48.48,0.09
2983,56.13333333,26.6,233.2,52.69,0.02
2985,20.17763158,18.4,169.7,64.09,0.3
2987,5.604081633,16.6,62,49.64,1.61
2988,22.53131991,19.9,161.6,52.41,0.32
2990,10.04784689,13.1,190.4,53.69,0.29
2993,30.57673667,18.5,253.3,50.61,0.24
2994,2.427797994,19.6,20,31.08,4.81
2996,26.88065155,31,99.8,46.77,6.52
2998,0.400625978,12.7,8.4,19.64,0.05
2999,57.93442623,27.6,224.8,51.31,0.32
3000,0.190807799,11.4,5.5,17.02,1.13
3002,1.130069525,11.7,29.3,53.95,0.27
3003,1.243505887,20.4,11.5,22.62,13.64
3011,2.00839944,15,26.9,34.76,0.08
3013,33.43939394,20,238,62.84,0.43
3016,5.696,18.7,46.7,35.11,0.03
3026,0.200934579,11.3,5.9,17.52,0.22
3029,97.62664277,23.4,512.1,87.98,0.55
3030,7.984210526,15.2,107.7,61.9,1.2
3033,7.109243697,18.6,58.1,37.27,0.07
3034,6.240601504,17.8,56.1,41.94,0.07
3044,6.5,17.6,52,42.63,0.02
3052,5.428571429,17.3,54,44.36,0.03
3061,1.550561798,13.5,27,40.78,0.16
3069,4.346938776,15.8,52.5,44.49,0.01
3074,1.739130435,12.3,38.3,48.3,0.02
3086,1.582122093,12.5,18.1,47.48,0.06
3091,1.25,15.5,16.8,23.97,0.01
3092,1.046875,14.9,8.2,23.05,0.02
3094,3.646840149,16.1,41.8,43.59,0.5
3096,10.01376147,18.5,46.8,46.42,0.03
3100,26.19417476,20.5,93.9,50.85,0.04
3102,4.156122449,15.9,26.6,48.54,0.36
3105,2.478857143,15.7,30,35.23,0.09
3106,3.007017544,15.8,37.5,46.13,1.86
3109,16.35446429,18.6,75.7,68.01,0.62
3111,76.22379603,26.5,321.7,65.13,0.88
3112,9.185964912,18.1,42.9,49.35,0.07
3114,0.471794872,13,5.1,20.19,0.04
3115,1.602067183,14.9,11.7,31.21,0.08
3118,2.90625,16.6,15,34.22,0.03
3120,0.37704918,12.6,4.3,19.47,0.02
3133,13.69496545,16.9,70.1,50.26,0.29
3135,20.30965909,19.7,74.6,48.82,0.08
3137,0.152830189,10.8,2.9,16.72,0.05
3139,0.796934866,14.2,7,22.03,0.29
3141,1.734636872,14.5,25.7,34.48,0.16
3149,2.714285714,16.2,30.2,42.51,0.1
3154,15.21065183,18,75.9,53.27,0.19
3156,7.773095624,17.1,43.6,50.76,0.09
3159,0.740654206,11.5,10.4,59.4,0.1
3167,0.4,12.7,3.7,19.64,0.04
3177,2.272727273,15.5,13.4,37.17,0.06
3178,130.5552699,27.3,262.9,53.68,0.52
3184,44.2140362,24,112.5,75.88,1.08
3185,1.544499382,13.7,26.1,39.09,0.09
3187,3.089579525,14.4,25.8,47.62,0.08
3189,8.88358209,17.8,45.4,45.72,0.16
3191,3.529058116,14.9,24,46.34,0.07
3194,6.252212389,19,23.8,35.35,0.07
3197,2.445255474,15.7,14.8,35.58,0.02
3198,18.50877193,20.1,56.5,49.84,0.07
3203,5.722807018,15.8,34.2,52.48,0.07
3208,7.575,19.3,57.9,37.9,0.04
3213,14.39919122,20.3,53.4,47.76,0.13
3217,1.987315011,13.6,18.5,47.07,0.25
3218,1.896694215,14.6,14.4,36.11,0.19
3221,0.119047619,10.4,4.6,16.06,0.04
